@Relation 2019

@ATTRIBUTE age REAL
@ATTRIBUTE satisfaction REAL
@ATTRIBUTE accommodation_income REAL
@ATTRIBUTE consume_income REAL
@ATTRIBUTE trade_times REAL
@ATTRIBUTE order_times REAL
@ATTRIBUTE education REAL
@ATTRIBUTE income REAL


@DATA
1,4,1045,388,1,1,4,1
1,3,1045,428,1,1,3,1
1,5,1045,288,1,1,3,1
1,5,1045,0,1,1,1,1
1,5,1398,0,1,3,5,2
1,5,1868,388,1,1,4,2
1,5,1868,428,1,1,5,3
1,5,1398,1058,1,1,3,1
1,4,1045,0,1,1,2,1
1,4,1045,388,1,1,4,1
1,3,1045,428,1,1,3,1
1,3,1045,288,1,1,3,1
1,4,1045,0,1,1,1,2
1,3,1398,0,1,2,5,2
1,3,1868,388,1,1,4,3
1,4,1868,428,1,1,5,1
1,3,1398,1058,1,1,3,1
1,4,1045,0,1,1,2,1
1,3,1045,388,1,1,4,1
1,5,1045,428,1,1,3,1
1,4,1045,288,1,1,3,2
1,3,1045,0,1,1,1,2
1,3,1398,0,1,2,5,3
1,4,1868,388,1,1,4,1
1,3,1868,428,1,3,5,1
1,3,1398,1058,1,1,3,1
1,4,1045,0,1,1,2,1
1,3,1045,388,1,1,4,1
1,4,1045,428,1,1,3,2
1,3,1045,288,1,1,3,2
1,5,1045,0,1,1,1,3
1,4,1398,0,1,1,5,1
1,3,1868,388,1,1,4,1
1,3,1868,428,1,1,5,1
1,4,1398,1058,1,1,3,1
1,3,1045,0,1,1,2,1
1,3,1045,388,1,1,4,2
1,4,1045,428,1,1,3,2
1,3,1045,288,1,1,3,3
1,4,1045,0,1,1,1,1
1,3,1398,0,1,2,5,1
1,5,1868,388,1,3,4,1
1,4,1868,428,1,3,5,1
1,3,1398,1058,1,1,3,1
1,3,1045,0,1,1,2,2
1,4,1045,388,1,1,4,2
1,3,1045,428,1,1,3,3
1,3,1045,288,1,1,3,1
1,4,1045,0,1,1,1,1
2,3,1398,0,1,1,5,1
2,4,1868,388,1,1,4,3
2,3,1868,428,1,1,5,5
2,5,1398,1058,1,1,3,4
2,4,1045,0,1,1,2,3
2,4,2769,388,2,3,5,4
2,3,1398,428,1,1,3,4
2,5,1045,288,1,1,4,4
2,5,1868,0,1,1,4,3
2,3,3736,0,2,4,3,5
2,4,5604,388,3,4,5,4
2,4,3398,428,1,1,2,3
2,4,4180,1058,4,5,3,4
2,5,1045,0,1,1,5,4
2,3,2769,388,2,3,6,4
2,4,1398,428,1,1,4,3
2,3,1045,288,1,1,3,5
2,4,1868,388,1,1,5,4
2,3,3736,428,2,4,3,3
2,5,5604,288,3,5,4,4
2,4,3398,0,1,1,4,4
2,4,4180,0,4,6,3,4
2,3,1045,388,1,1,5,3
2,5,2769,428,2,1,2,5
2,5,1398,1058,1,4,3,4
2,3,1045,0,1,4,5,3
2,4,1868,388,1,1,6,4
2,4,3736,428,2,5,4,4
2,4,5604,288,3,1,3,4
2,5,3398,388,1,3,5,3
2,3,4180,428,4,1,3,5
2,4,1045,288,1,1,4,4
2,3,2769,0,2,1,4,3
2,4,1398,0,1,4,3,4
2,3,1045,388,1,5,5,4
2,5,1868,428,1,1,2,4
2,4,3736,1058,2,6,3,3
2,4,5604,0,3,1,5,5
2,3,3398,388,1,1,6,4
2,5,4180,428,4,4,4,3
2,5,1045,288,1,4,3,4
2,3,2769,388,2,1,5,4
2,4,1398,428,1,5,3,4
2,4,1045,288,1,1,4,3
2,4,1868,0,1,3,4,5
2,5,3736,0,2,1,3,4
2,3,5604,388,3,1,5,3
2,4,3398,428,1,1,2,4
2,3,4180,1058,4,4,3,4
2,4,1045,0,1,5,5,4
2,3,2769,388,2,1,6,3
2,5,1398,428,1,6,4,5
2,4,1045,288,1,1,3,4
2,4,1868,388,1,1,5,3
2,3,3736,428,2,4,3,4
2,5,5604,288,3,4,4,4
2,5,3398,0,1,1,4,4
2,3,4180,0,4,5,3,3
2,4,1045,388,1,1,5,5
2,4,2769,428,2,3,2,4
2,4,1398,1058,1,1,3,3
2,5,1045,0,1,1,5,4
2,3,1868,388,1,1,6,4
2,4,3736,428,2,4,4,4
2,3,5604,288,3,5,3,3
2,4,3398,388,1,1,5,5
2,3,4180,428,4,6,3,4
2,5,1045,288,1,1,4,3
2,4,2769,0,2,1,4,4
2,4,1398,0,1,4,3,4
2,3,1045,388,1,4,5,4
2,5,1868,428,1,1,2,3
2,5,3736,1058,2,5,3,5
2,3,5604,0,3,1,5,4
2,4,3398,388,1,3,6,3
2,4,4180,428,4,1,4,4
2,4,1045,288,1,1,3,4
2,5,2769,388,2,1,5,4
2,3,1398,428,1,4,3,3
2,4,1045,288,1,5,4,5
2,3,1868,0,1,1,4,4
2,4,3736,0,2,6,3,3
2,3,5604,388,3,1,5,4
2,5,3398,428,1,1,2,4
2,4,4180,1058,4,4,3,4
2,4,1045,0,1,4,5,3
2,3,2769,388,2,1,6,5
2,5,1398,428,1,5,4,4
2,5,1045,288,1,1,3,3
3,3,1868,388,1,3,5,4
3,4,3736,428,2,1,3,4
3,4,5604,288,3,1,4,4
3,4,3398,0,1,1,4,3
3,5,4180,0,4,4,3,5
3,4,5604,388,3,5,5,4
3,4,3398,428,1,1,2,3
3,5,6927,1058,1,2,3,4
3,1,1045,0,1,1,5,4
3,4,1868,388,1,1,6,4
3,4,3736,428,2,2,4,3
3,3,5604,288,3,4,3,5
3,4,3398,288,1,2,3,4
3,4,4180,388,4,6,5,3
3,5,5604,428,3,3,6,4
3,4,3398,288,1,2,4,4
3,4,6927,0,1,1,3,4
3,5,1045,0,1,2,5,5
3,1,1868,388,1,1,3,4
3,4,3736,428,2,1,4,5
3,4,5604,1058,3,2,4,5
3,3,3398,428,1,4,3,4
3,4,4180,288,4,2,5,5
3,4,5604,0,3,6,2,5
3,5,3398,0,1,3,3,4
3,4,6927,388,1,2,5,4
3,4,1045,428,1,1,6,3
3,5,1868,1058,1,2,4,5
3,1,3736,0,2,1,3,4
3,4,5604,388,3,1,5,3
3,4,3398,428,1,2,3,4
3,3,4180,288,4,4,4,4
3,4,5604,288,3,2,4,4
3,4,3398,388,1,6,3,5
3,5,6927,428,1,3,5,4
3,4,1045,288,1,2,2,5
3,4,1868,0,1,1,3,5
3,5,3736,0,2,2,5,4
3,1,5604,388,3,1,6,5
3,4,3398,428,1,1,4,5
3,4,4180,1058,4,2,3,4
3,3,5604,428,3,4,5,4
3,4,3398,288,1,2,3,3
3,4,6927,0,1,6,4,5
3,5,1045,0,1,3,4,4
3,4,1868,388,1,2,3,3
3,4,3736,428,2,1,5,4
3,5,5604,1058,3,2,2,4
3,1,3398,0,1,1,3,4
3,4,4180,388,4,1,5,5
3,4,5604,428,3,2,6,4
3,3,3398,288,1,4,4,5
3,4,6927,288,1,2,3,5
3,4,1045,388,1,6,5,4
3,5,1868,428,1,3,3,5
3,4,3736,288,2,2,4,5
3,4,5604,0,3,1,4,4
3,5,3398,0,1,2,3,4
3,1,4180,388,4,1,5,3
3,4,5604,428,3,1,2,5
3,4,3398,1058,1,2,3,4
3,3,6927,428,1,4,5,3
3,4,1045,288,1,2,6,4
3,4,1868,0,1,6,4,4
3,5,3736,0,2,3,3,4
3,4,5604,388,3,2,5,5
3,4,3398,428,1,1,3,4
3,5,4180,1058,4,2,4,5
3,1,5604,0,3,1,4,5
3,4,3398,388,1,1,3,4
3,4,6927,428,1,2,5,5
3,3,1045,288,1,4,2,5
3,4,1868,288,1,2,3,4
3,4,3736,388,2,6,5,4
3,5,5604,428,3,3,6,3
3,4,3398,288,1,2,4,5
3,4,4180,0,4,1,3,4
3,5,5604,0,3,2,3,3
3,1,3398,388,1,1,5,4
3,4,6927,428,1,1,6,4
3,4,1045,1058,1,2,4,4
3,3,1868,428,1,4,3,5
3,4,3736,288,2,2,5,4
3,4,5604,0,3,6,3,5
3,5,3398,0,1,3,4,5
3,4,4180,388,4,2,4,4
3,4,5604,428,3,1,3,5
3,5,3398,1058,1,2,5,5
3,1,6927,0,1,1,2,4
3,4,1045,388,1,1,3,4
3,4,1868,428,1,2,5,3
3,3,3736,288,2,4,6,5
3,4,5604,288,3,2,4,4
3,4,3398,388,1,6,3,3
3,5,4180,428,4,3,5,4
3,4,5604,288,3,2,3,4
3,4,3398,0,1,1,4,4
3,5,6927,0,1,2,4,5
3,1,1045,388,1,1,3,4
3,4,1868,428,1,1,5,5
3,4,3736,1058,2,2,2,5
3,3,5604,428,3,4,3,4
3,4,3398,288,1,2,5,5
3,4,4180,0,4,6,6,5
3,5,5604,0,3,3,4,4
3,4,3398,388,1,2,3,4
3,4,6927,428,1,1,5,3
4,5,1045,1058,1,2,3,5
4,1,1868,0,1,1,4,4
4,4,3736,388,1,1,4,3
4,4,5604,428,3,2,3,4
4,3,3398,288,1,4,5,4
4,4,4180,288,4,2,2,4
4,4,5604,388,3,6,3,5
4,3,3398,428,1,3,5,4
4,4,6927,288,1,2,6,5
4,4,1045,0,1,1,4,5
4,5,1868,0,1,2,3,4
4,4,3736,388,2,1,5,5
4,4,5604,428,3,1,3,5
4,5,3398,1058,1,2,4,4
4,1,4180,1058,4,4,4,4
4,4,5604,428,3,2,3,3
4,4,3398,288,1,6,5,5
